,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Close_MA20,Volume_MA50,Volume/MA50,volume_pct,volume_pct_ge90_count_last_5,volume_pct_ge90_count_last_10,SELL
864,2024-07-19,Q (Aug 2024),15.25,16.15,15.23,15.9,15.9169,0.6235,182927,1727,185843,13.7245,91296.92,2.0036491921085617,98.0,2.0,3.0,True
867,2024-07-24,Q (Aug 2024),14.85,17.25,14.84,17.06,17.072,2.1397,231402,0,179669,13.9195,97063.02,2.3840387410158885,100.0,3.0,4.0,True
868,2024-07-25,Q (Aug 2024),17.05,17.95,16.09,17.18,17.1444,0.0724,227721,2900,174334,14.081,99968.44,2.277928914365374,99.66666666666667,3.0,4.0,True
873,2024-08-01,Q (Aug 2024),15.85,18.2,15.65,17.7,17.4669,1.4675,201973,318,166539,14.803500000000003,106509.82,1.8962852439333762,99.0,1.0,4.0,True
874,2024-08-02,Q (Aug 2024),17.65,23.0,17.65,22.5,21.8527,4.3858,361047,1188,174657,15.262,111964.7,3.224650269236643,100.0,2.0,4.0,True
875,2024-08-05,Q (Aug 2024),23.0,37.1,22.65,31.0,32.0986,10.2459,327852,0,164777,16.157,118397.82,2.769071254859253,99.66666666666667,3.0,5.0,True
876,2024-08-06,Q (Aug 2024),30.65,30.72,21.85,24.36,25.7702,-6.3284,224511,3583,145439,16.7225,120443.44,1.8640367628158079,98.66666666666667,4.0,6.0,True
877,2024-08-07,Q (Aug 2024),24.5,25.95,21.3,25.75,25.0766,-0.6936,154856,0,135726,17.362000000000002,121981.82,1.269500651818443,92.0,5.0,6.0,True
898,2024-09-06,U (Sep 2024),18.85,21.55,18.05,20.95,20.4643,1.712,194456,0,123714,17.0505,121768.66,1.5969297847245751,97.33333333333334,3.0,3.0,True
901,2024-09-11,U (Sep 2024),18.35,20.35,17.2,17.45,17.2328,-1.0536,159598,370,88397,16.935,123621.26,1.291023890227296,91.66666666666666,2.0,4.0,True
1014,2025-02-25,H (Mar 2025),18.35,19.4,18.05,18.37,18.4836,0.0534,182928,200,202055,16.9565,97519.76,1.8758044523489394,95.0,3.0,3.0,True
1016,2025-02-27,H (Mar 2025),17.8,19.35,17.65,19.23,19.3063,1.1726,164843,3622,178805,17.115000000000002,100921.34,1.6333810074261796,93.0,4.0,4.0,True
1017,2025-02-28,H (Mar 2025),19.25,20.0,18.7,18.93,18.8291,-0.4772,184717,0,159440,17.2215,103182.7,1.790193511121535,95.33333333333334,4.0,5.0,True
1019,2025-03-04,H (Mar 2025),20.5,23.0,20.04,20.72,21.2409,0.5832,235740,738,145869,17.5365,107795.04,2.186928081292052,98.66666666666667,3.0,6.0,True
1020,2025-03-05,H (Mar 2025),20.7,21.75,20.05,20.37,20.1269,-1.114,155199,2713,128821,17.682499999999997,110864.72,1.3998952958163786,90.33333333333333,4.0,7.0,True
1021,2025-03-06,H (Mar 2025),20.3,22.95,20.2,22.46,22.8281,2.7012,168299,807,130499,17.967999999999996,107946.56,1.559095537643812,93.0,4.0,8.0,True
1022,2025-03-07,H (Mar 2025),22.4,23.62,21.55,21.85,21.6254,-1.2027,162330,303,120265,18.229,106569.64,1.5232293174679017,91.33333333333333,4.0,8.0,True
1023,2025-03-10,H (Mar 2025),21.8,25.45,21.8,24.77,24.9344,3.309,176385,0,112322,18.5975,107642.26,1.6386222288532404,93.33333333333333,5.0,8.0,True
1024,2025-03-11,H (Mar 2025),24.8,26.65,23.97,24.69,24.6115,-0.3229,178060,1383,101839,18.9945,109767.72,1.6221526692911177,93.33333333333333,5.0,8.0,True
1043,2025-04-07,J (Apr 2025),35.0,40.2,26.9,32.9,33.1708,0.6732,223915,83,122555,22.277,119973.3,1.8663736014596581,96.33333333333334,3.0,3.0,True
1044,2025-04-08,J (Apr 2025),32.8,41.5,29.3,39.5,39.1728,6.002,176070,966,107141,23.017500000000002,118604.42,1.4845146580540591,91.66666666666666,4.0,4.0,True
1045,2025-04-09,J (Apr 2025),39.23,44.01,26.8,28.1,28.6489,-10.5239,178459,308,96134,23.26,120186.4,1.4848518634387917,92.33333333333333,5.0,5.0,True
1252,2026-02-05,G (Feb 2026),19.15,21.36,18.95,21.29,20.8475,1.5547,196557,118,109772,18.122,86121.0,2.282335318911764,96.33333333333334,2.0,3.0,True
1258,2026-02-13,G (Feb 2026),20.4,21.81,19.5,21.2,21.029,0.3715,156142,0,52702,18.994999999999997,88477.26,1.7647698402956873,92.0,1.0,3.0,True
1272,2026-03-06,H (Mar 2026),22.9,27.1,22.39,26.4,26.9657,3.992,208585,30,145760,20.64,102232.52,2.0402998967451844,97.0,3.0,3.0,True
