,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
45,2021-03-10,H (Mar 2021),23.95,24.25,23.05,23.45,23.5048,-0.4678,104199,0,83250
46,2021-03-11,H (Mar 2021),23.42,23.65,22.65,23.05,22.8882,-0.6166,77841,0,70848
47,2021-03-12,H (Mar 2021),23.0,23.81,21.93,22.05,21.9778,-0.9104,89608,168,60646
48,2021-03-15,H (Mar 2021),22.05,22.24,20.05,20.35,20.1006,-1.8772,82108,0,47687
49,2021-03-16,H (Mar 2021),20.42,20.6,19.55,19.95,19.9204,-0.1802,85204,0,33898
50,2021-03-17,H (Mar 2021),19.8,20.7,19.8,20.2,20.8,0.8796,1841,0,25211
51,2021-03-18,J (Apr 2021),23.15,24.55,22.75,24.16,24.3001,1.2976,119571,501,223099
52,2021-03-19,J (Apr 2021),24.15,24.81,23.2,23.55,23.315,-0.9851,98565,0,214012
53,2021-03-22,J (Apr 2021),23.6,23.85,21.55,21.81,21.731,-1.584,86738,414,207222
54,2021-03-23,J (Apr 2021),21.8,23.3,21.75,22.6,22.833,1.102,101610,144,209764
55,2021-03-24,J (Apr 2021),22.6,23.1,21.85,22.9,22.9775,0.1445,95892,0,193637
56,2021-03-25,J (Apr 2021),22.9,24.5,22.15,22.25,22.3056,-0.6719,136596,0,180052
57,2021-03-26,J (Apr 2021),22.3,22.9,21.1,21.45,21.3859,-0.9197,133483,283,169944
58,2021-03-29,J (Apr 2021),21.55,22.7,21.45,21.9,22.0032,0.6173,109585,177,162049
59,2021-03-30,J (Apr 2021),21.9,22.35,20.97,21.1,21.0321,-0.9711,76406,0,155859
60,2021-03-31,J (Apr 2021),21.1,21.35,20.37,20.75,20.734,-0.2981,89544,96,147130
61,2021-04-01,J (Apr 2021),20.7,20.8,19.8,19.9,20.0824,-0.6516,85570,50,152207
62,2021-04-05,J (Apr 2021),19.9,19.9,19.3,19.45,19.5423,-0.5401,64903,1677,132500
63,2021-04-06,J (Apr 2021),19.48,19.85,19.15,19.65,19.561,0.0187,73609,38,125853
64,2021-04-07,J (Apr 2021),19.65,19.7,18.85,18.85,18.986,-0.575,73027,60,118895
65,2021-04-08,J (Apr 2021),18.9,18.91,18.25,18.4,18.4887,-0.4973,89696,0,116389
66,2021-04-09,J (Apr 2021),18.4,18.83,18.0,18.45,18.1505,-0.3382,65479,0,112318
67,2021-04-12,J (Apr 2021),18.35,18.85,17.95,18.05,18.0039,-0.1466,75084,146,100790
68,2021-04-13,J (Apr 2021),18.05,18.48,17.55,17.8,17.6781,-0.3258,85452,229,90214
69,2021-04-14,J (Apr 2021),17.75,18.3,17.45,17.88,18.0989,0.4208,97555,0,74708
70,2021-04-15,J (Apr 2021),17.95,18.0,17.07,17.2,17.1523,-0.9466,67884,0,67301
71,2021-04-16,J (Apr 2021),17.15,17.4,16.85,17.11,17.0019,-0.1504,67869,500,56854
72,2021-04-19,J (Apr 2021),17.2,18.51,17.1,17.65,17.657,0.6551,93266,500,48111
73,2021-04-20,J (Apr 2021),17.7,19.3,17.41,18.96,18.6526,0.9956,90513,0,28759
74,2021-04-21,J (Apr 2021),18.9,19.2,18.0,19.05,19.28,0.6274,1337,0,26203
75,2021-04-22,K (May 2021),20.2,21.65,19.85,21.05,21.1658,1.1703,142688,129,201584
76,2021-04-23,K (May 2021),21.05,21.15,19.9,20.35,20.4318,-0.734,98966,0,192293
77,2021-04-26,K (May 2021),20.4,20.55,20.1,20.24,20.2051,-0.2267,62805,130,184260
78,2021-04-27,K (May 2021),20.25,20.45,19.65,19.85,19.7093,-0.4958,78382,320,175943
79,2021-04-28,K (May 2021),19.83,20.0,19.5,19.6,19.6632,-0.0461,71265,210,169114
80,2021-04-29,K (May 2021),19.65,20.4,19.2,19.68,19.5684,-0.0948,86698,0,162237
81,2021-04-30,K (May 2021),19.65,20.7,19.65,20.45,20.438,0.8696,98510,1833,157419
82,2021-05-03,K (May 2021),20.45,20.55,19.65,19.75,19.7324,-0.7056,80758,0,143936
83,2021-05-04,K (May 2021),19.75,22.0,19.6,20.8,20.5493,0.8169,139634,324,137021
84,2021-05-05,K (May 2021),20.75,20.85,19.5,20.05,19.9784,-0.5709,91013,0,125201
85,2021-05-06,K (May 2021),20.1,21.1,19.56,19.8,19.6892,-0.2892,92278,140,118198
86,2021-05-07,K (May 2021),19.8,19.95,18.2,18.4,18.2917,-1.3975,88812,0,114740
87,2021-05-10,K (May 2021),18.35,19.93,18.0,19.75,19.4819,1.1902,113759,32,95539
88,2021-05-11,K (May 2021),19.78,22.1,19.5,21.66,21.2388,1.7569,189216,704,82517
89,2021-05-12,K (May 2021),21.7,27.15,21.2,26.1,25.9725,4.7337,196274,459,72038
90,2021-05-13,K (May 2021),26.25,27.03,22.12,22.7,22.6932,-3.2793,135964,0,58534
91,2021-05-14,K (May 2021),22.75,22.9,18.89,19.1,19.1312,-3.562,107377,0,46726
92,2021-05-17,K (May 2021),19.25,21.35,18.95,19.65,19.9063,0.7751,88206,45,32516
93,2021-05-18,K (May 2021),19.7,21.9,18.79,21.76,21.1438,1.2375,79787,0,18216
94,2021-05-19,K (May 2021),21.6,25.35,21.6,24.3,25.21,4.0662,2686,0,17537
95,2021-05-20,M (Jun 2021),23.65,24.0,21.85,22.1,22.1031,-1.283,104176,115,169030
96,2021-05-21,M (Jun 2021),22.2,22.2,21.4,21.85,21.8453,-0.2578,71397,0,162356
97,2021-05-24,M (Jun 2021),22.05,22.25,20.5,20.85,20.7569,-1.0884,65826,0,161035
98,2021-05-25,M (Jun 2021),20.85,21.15,20.5,20.6,20.7012,-0.0557,67262,0,158196
99,2021-05-26,M (Jun 2021),20.65,20.65,19.58,19.65,19.6232,-1.078,73506,3072,149527
100,2021-05-27,M (Jun 2021),19.6,20.1,18.5,18.63,18.5669,-1.0563,81396,301,144144
101,2021-05-28,M (Jun 2021),18.6,19.2,18.45,19.1,19.1343,0.5674,77714,376,136027
102,2021-06-01,M (Jun 2021),18.95,19.65,18.45,19.4,19.5551,0.4208,83140,0,128492
103,2021-06-02,M (Jun 2021),19.4,19.61,18.65,19.05,18.9248,-0.6303,64289,0,122617
104,2021-06-03,M (Jun 2021),19.0,20.0,18.92,19.3,19.2865,0.3617,75480,0,112656
105,2021-06-04,M (Jun 2021),19.35,19.71,17.95,18.29,18.1246,-1.1619,83236,0,103740
106,2021-06-07,M (Jun 2021),18.29,18.55,17.6,17.65,17.6359,-0.4887,53372,0,94995
107,2021-06-08,M (Jun 2021),17.75,18.46,17.5,18.0,17.9012,0.2653,64345,0,86810
108,2021-06-09,M (Jun 2021),18.0,18.5,17.62,18.33,18.3797,0.4785,63985,0,71742
109,2021-06-10,M (Jun 2021),18.35,18.65,16.85,17.03,16.9031,-1.4766,79703,0,63061
110,2021-06-11,M (Jun 2021),17.03,17.05,16.07,16.58,16.5505,-0.3526,67007,0,54866
111,2021-06-14,M (Jun 2021),16.65,17.08,16.05,16.65,16.4514,-0.0991,65209,0,44068
112,2021-06-15,M (Jun 2021),16.65,17.43,16.2,17.1,17.1014,0.65,72601,0,29033
113,2021-06-16,M (Jun 2021),17.3,17.44,16.9,17.1,16.38,-0.7214,1826,0,27655
114,2021-06-17,N (Jul 2021),19.8,20.55,18.84,19.45,19.5146,-0.1084,92236,0,187437
115,2021-06-18,N (Jul 2021),19.5,21.65,19.25,21.5,21.339,1.8244,159384,0,191416
116,2021-06-21,N (Jul 2021),21.45,22.25,19.6,20.2,19.9159,-1.4231,113975,174,171626
117,2021-06-22,N (Jul 2021),20.1,20.35,18.7,18.75,18.8265,-1.0894,95264,0,165248
118,2021-06-23,N (Jul 2021),18.8,18.95,18.25,18.3,18.4413,-0.3852,61946,284,163908
119,2021-06-24,N (Jul 2021),18.37,18.4,17.9,18.1,18.167,-0.2743,55526,0,158014
120,2021-06-25,N (Jul 2021),18.15,18.3,17.65,17.7,17.7017,-0.4653,51228,0,153865
121,2021-06-28,N (Jul 2021),17.7,18.05,17.5,17.75,17.7213,0.0196,58554,0,151974
122,2021-06-29,N (Jul 2021),17.75,18.2,17.55,17.97,18.1278,0.4065,54954,0,145227
123,2021-06-30,N (Jul 2021),18.05,18.41,17.75,17.85,17.9033,-0.2245,69357,0,138679
124,2021-07-01,N (Jul 2021),17.85,18.0,17.44,17.55,17.4735,-0.4298,59366,0,136480
125,2021-07-02,N (Jul 2021),17.55,17.66,16.85,17.5,17.4706,-0.0029,79965,1172,128062
126,2021-07-06,N (Jul 2021),17.45,18.7,17.19,18.2,17.9987,0.5281,94335,0,127575
127,2021-07-07,N (Jul 2021),18.16,18.8,17.7,17.9,18.0485,0.0498,74187,0,109951
128,2021-07-08,N (Jul 2021),17.95,20.5,17.9,19.75,19.545,1.4965,156447,0,93692
129,2021-07-09,N (Jul 2021),19.75,20.1,17.7,17.9,17.7962,-1.7488,104248,0,80172
130,2021-07-12,N (Jul 2021),17.85,18.4,17.25,17.25,17.3713,-0.4249,65228,0,73831
131,2021-07-13,N (Jul 2021),17.3,17.9,16.95,17.8,17.7342,0.3629,76204,0,68529
132,2021-07-14,N (Jul 2021),17.75,18.05,16.91,17.17,17.047,-0.6872,78877,0,64714
133,2021-07-15,N (Jul 2021),17.16,18.25,17.15,17.6,17.51,0.463,91530,166,54747
134,2021-07-16,N (Jul 2021),17.65,18.76,16.8,18.5,18.6228,1.1128,80811,0,47654
135,2021-07-19,N (Jul 2021),18.55,24.76,18.35,22.02,22.738,4.1152,141925,70,34977
136,2021-07-20,N (Jul 2021),21.95,22.85,19.75,19.84,19.9561,-2.7819,79034,8,23615
137,2021-07-21,N (Jul 2021),19.95,20.0,18.5,19.05,18.9,-1.0561,1480,0,20043
138,2021-07-22,Q (Aug 2021),20.1,20.85,19.9,20.15,20.5665,0.4583,82003,1033,164178
139,2021-07-23,Q (Aug 2021),20.2,20.5,19.95,20.5,20.3675,-0.199,67116,0,159138
140,2021-07-26,Q (Aug 2021),20.4,21.45,20.0,20.1,20.1497,-0.2178,68002,1564,153021
141,2021-07-27,Q (Aug 2021),20.15,21.9,20.05,21.05,20.7147,0.565,113181,0,145155
142,2021-07-28,Q (Aug 2021),21.08,21.25,19.78,20.45,20.1089,-0.6058,87299,200,139060
143,2021-07-29,Q (Aug 2021),20.4,20.7,19.55,20.0,19.7092,-0.3997,61839,1284,136906
144,2021-07-30,Q (Aug 2021),20.1,21.12,19.78,20.25,20.274,0.5648,80337,0,132323
145,2021-08-02,Q (Aug 2021),20.45,21.3,19.55,21.05,21.1496,0.8756,84656,0,124828
146,2021-08-03,Q (Aug 2021),21.1,21.45,19.8,20.05,19.8525,-1.2971,92430,164,116995
147,2021-08-04,Q (Aug 2021),20.0,20.46,19.6,19.91,19.8494,-0.0031,56908,50,109492
148,2021-08-05,Q (Aug 2021),19.9,19.95,19.25,19.31,19.3129,-0.5365,50098,158,102241
149,2021-08-06,Q (Aug 2021),19.4,19.5,18.65,18.78,18.7024,-0.6105,69232,0,100337
150,2021-08-09,Q (Aug 2021),18.8,19.35,18.25,18.3,18.4231,-0.2793,70508,0,83888
151,2021-08-10,Q (Aug 2021),18.4,18.6,17.8,18.05,17.9776,-0.4455,62237,62,74802
152,2021-08-11,Q (Aug 2021),18.05,18.3,17.35,17.69,17.4443,-0.5333,73573,0,60471
153,2021-08-12,Q (Aug 2021),17.65,17.8,16.78,16.85,17.0028,-0.4415,56780,80,52384
154,2021-08-13,Q (Aug 2021),16.88,17.05,16.5,16.7,16.631,-0.3718,57486,0,45852
155,2021-08-16,Q (Aug 2021),16.65,17.95,16.45,16.6,16.504,-0.127,64794,0,32675
156,2021-08-17,Q (Aug 2021),16.65,19.35,16.5,18.15,17.5787,1.0747,84418,0,18213
157,2021-08-18,Q (Aug 2021),18.0,18.4,17.35,18.1,18.58,1.0013,641,0,17493
158,2021-08-19,U (Sep 2021),21.65,23.2,21.3,22.24,22.346,0.6402,197377,948,171142
159,2021-08-20,U (Sep 2021),22.2,23.1,20.35,20.56,20.5273,-1.8187,126294,0,155070
160,2021-08-23,U (Sep 2021),20.6,20.6,19.45,19.7,19.8468,-0.6805,94276,390,145894
161,2021-08-24,U (Sep 2021),19.7,19.9,19.5,19.65,19.7306,-0.1162,60186,79,141750
162,2021-08-25,U (Sep 2021),19.65,19.9,19.15,19.25,19.2328,-0.4978,55067,973,139644
163,2021-08-26,U (Sep 2021),19.3,20.45,19.25,20.15,20.1229,0.8901,107636,0,133813
164,2021-08-27,U (Sep 2021),20.15,20.4,18.8,19.05,18.9529,-1.17,81083,0,127508
165,2021-08-30,U (Sep 2021),19.1,19.2,18.65,18.7,18.746,-0.2069,65128,978,120884
166,2021-08-31,U (Sep 2021),18.7,19.1,18.43,18.6,18.6212,-0.1248,66371,0,117945
167,2021-09-01,U (Sep 2021),18.5,18.76,17.9,18.1,18.0805,-0.5407,76389,425,114027
168,2021-09-02,U (Sep 2021),18.1,18.45,17.75,18.1,17.9632,-0.1173,69977,0,106130
169,2021-09-03,U (Sep 2021),18.05,18.65,17.85,18.26,18.3528,0.3896,81359,0,93209
170,2021-09-07,U (Sep 2021),18.3,19.3,17.9,18.92,18.8314,0.4786,86267,0,83747
171,2021-09-08,U (Sep 2021),18.9,20.15,18.7,19.1,18.7658,-0.0656,98829,0,72873
172,2021-09-09,U (Sep 2021),19.1,20.1,18.33,19.4,19.3716,0.6058,104019,0,61109
173,2021-09-10,U (Sep 2021),19.5,20.71,18.1,20.49,20.6249,1.2533,110074,0,48515
174,2021-09-13,U (Sep 2021),20.4,20.8,19.05,19.25,19.298,-1.3269,94848,0,31705
175,2021-09-14,U (Sep 2021),19.3,20.4,18.65,19.65,19.715,0.417,81624,0,18705
176,2021-09-15,U (Sep 2021),19.5,19.83,18.95,19.4,19.79,0.075,1049,0,17398
177,2021-10-21,X (Nov 2021),19.35,19.7,18.65,18.95,18.6977,-0.6178,74115,0,195650
178,2021-10-22,X (Nov 2021),18.95,19.6,18.55,19.2,19.1016,0.4039,81858,0,189386
179,2021-10-25,X (Nov 2021),19.25,19.45,18.5,18.6,18.5505,-0.5511,68650,948,181529
180,2021-10-26,X (Nov 2021),18.6,19.4,18.25,18.9,18.9246,0.3741,77215,0,174572
181,2021-10-27,X (Nov 2021),18.95,19.5,18.4,19.25,19.3496,0.425,96839,0,170841
182,2021-10-28,X (Nov 2021),19.3,19.35,18.6,19.0,18.6503,-0.6993,72368,0,163083
183,2021-10-29,X (Nov 2021),18.95,19.55,18.65,18.75,18.7793,0.129,78156,0,153018
184,2021-11-01,X (Nov 2021),18.75,19.26,18.35,18.45,18.3999,-0.3794,69406,0,149895
185,2021-11-02,X (Nov 2021),18.45,18.66,17.81,17.9,17.8505,-0.5494,62356,297,145897
186,2021-11-03,X (Nov 2021),17.9,18.15,17.0,17.21,17.1078,-0.7427,79658,0,138296
187,2021-11-04,X (Nov 2021),17.22,17.8,16.83,17.35,17.4041,0.2963,91756,0,129653
188,2021-11-05,X (Nov 2021),17.35,18.55,17.0,18.4,18.4401,1.036,115272,0,114423
189,2021-11-08,X (Nov 2021),18.45,18.95,17.95,18.4,18.4945,0.0544,93429,0,104278
190,2021-11-09,X (Nov 2021),18.4,19.6,18.4,18.9,18.9001,0.4056,108975,0,90603
191,2021-11-10,X (Nov 2021),18.95,20.3,18.45,19.6,19.5268,0.6267,130698,0,75949
192,2021-11-11,X (Nov 2021),19.65,19.7,18.35,18.66,18.7588,-0.768,82443,0,62892
193,2021-11-12,X (Nov 2021),18.65,18.7,17.4,17.5,17.4182,-1.3406,79568,0,51736
194,2021-11-15,X (Nov 2021),17.4,17.88,16.93,17.0,17.0011,-0.4171,71747,0,36344
195,2021-11-16,X (Nov 2021),17.0,17.38,16.15,16.45,16.7991,-0.202,73852,0,20266
196,2021-11-17,X (Nov 2021),16.58,16.65,16.28,16.45,16.34,-0.4591,1069,0,18216
197,2021-11-18,Z (Dec 2021),20.3,20.75,20.0,20.52,20.4995,0.225,69365,0,172541
198,2021-11-19,Z (Dec 2021),20.5,21.1,20.2,20.7,20.7994,0.2999,87585,0,168609
199,2021-11-22,Z (Dec 2021),20.7,21.26,20.15,20.95,21.1529,0.3535,93227,0,164035
200,2021-11-23,Z (Dec 2021),21.0,21.6,20.5,20.7,20.563,-0.5899,104508,0,157873
201,2021-11-24,Z (Dec 2021),20.7,21.6,20.15,20.25,20.348,-0.215,102066,0,155049
202,2021-11-26,Z (Dec 2021),20.25,27.0,20.05,25.9,26.5412,6.1932,239590,0,172216
203,2021-11-29,Z (Dec 2021),25.75,25.8,21.4,22.55,22.2041,-4.3371,202834,2301,144166
204,2021-11-30,Z (Dec 2021),22.45,25.8,22.01,25.15,25.6865,3.4824,202333,1374,146216
205,2021-12-01,Z (Dec 2021),25.1,27.95,22.59,26.96,27.8304,2.1439,166567,0,134014
206,2021-12-02,Z (Dec 2021),26.7,27.26,25.05,25.85,25.9392,-1.8912,161371,100,132060
207,2021-12-03,Z (Dec 2021),25.8,31.5,25.35,28.6,28.7301,2.7909,218810,1696,128602
208,2021-12-06,Z (Dec 2021),28.7,28.85,25.7,25.9,25.8521,-2.878,131887,0,114089
209,2021-12-07,Z (Dec 2021),25.85,25.85,22.15,22.4,22.5437,-3.3084,123012,0,95356
210,2021-12-08,Z (Dec 2021),22.4,23.1,20.65,20.75,20.8267,-1.717,86261,0,83147
211,2021-12-09,Z (Dec 2021),20.85,22.25,20.45,21.65,21.5672,0.7405,93532,0,79837
212,2021-12-10,Z (Dec 2021),21.6,21.85,19.75,19.86,19.7975,-1.7697,85031,0,74342
213,2021-12-13,Z (Dec 2021),19.9,21.25,19.35,20.45,20.5841,0.7866,88416,0,67874
214,2021-12-14,Z (Dec 2021),20.5,22.6,20.09,21.6,21.2857,0.7016,94827,0,60912
215,2021-12-15,Z (Dec 2021),21.55,22.55,19.0,19.2,19.0758,-2.2099,96275,0,55981
216,2021-12-16,Z (Dec 2021),19.2,21.25,18.35,20.25,20.4217,1.3459,115566,0,46798
217,2021-12-17,Z (Dec 2021),20.2,22.46,20.0,20.97,21.0691,0.6474,103647,0,37957
218,2021-12-20,Z (Dec 2021),21.05,25.75,21.0,22.6,22.8089,1.7398,108419,505,31410
219,2021-12-21,Z (Dec 2021),22.65,22.65,21.0,21.15,21.0726,-1.7363,60397,0,16943
220,2021-12-22,Z (Dec 2021),21.2,21.75,20.7,21.05,20.83,-0.2426,788,0,14750
221,2021-12-23,F (Jan 2022),21.8,21.95,21.3,21.7,21.6518,-0.1489,61154,878,132678
222,2021-12-27,F (Jan 2022),21.7,21.9,20.9,21.05,21.0053,-0.6465,63941,184,128450
223,2021-12-28,F (Jan 2022),21.05,21.28,20.45,20.5,20.5305,-0.4748,73403,1535,124436
224,2021-12-29,F (Jan 2022),20.5,20.7,19.75,20.0,20.0072,-0.5233,62080,1068,118566
225,2021-12-30,F (Jan 2022),19.95,20.15,19.4,19.72,19.9439,-0.0633,62396,526,115183
226,2021-12-31,F (Jan 2022),19.75,20.2,19.5,19.65,19.6745,-0.2694,50314,0,112053
227,2022-01-03,F (Jan 2022),19.6,19.81,18.75,19.05,18.8578,-0.8167,76498,1813,110575
228,2022-01-04,F (Jan 2022),19.0,19.65,18.55,19.0,18.8692,0.0114,76641,297,105508
229,2022-01-05,F (Jan 2022),19.0,21.1,18.62,20.95,20.7745,1.9053,113743,717,99435
230,2022-01-06,F (Jan 2022),20.95,21.8,20.22,20.9,20.8496,0.0751,100872,0,91440
231,2022-01-07,F (Jan 2022),20.85,21.5,20.2,20.5,20.398,-0.4516,92971,0,77551
232,2022-01-10,F (Jan 2022),20.55,23.05,19.8,19.98,19.9034,-0.4946,136154,75,68454
233,2022-01-11,F (Jan 2022),20.05,20.85,18.9,19.05,18.954,-0.9494,106524,0,62471
234,2022-01-12,F (Jan 2022),19.0,19.2,18.15,18.7,18.5814,-0.3726,92713,0,51618
235,2022-01-13,F (Jan 2022),18.7,20.63,18.25,20.45,20.4167,1.8353,89670,0,44239
236,2022-01-14,F (Jan 2022),20.5,21.6,19.57,19.7,19.667,-0.7497,98207,0,35941
237,2022-01-18,F (Jan 2022),19.7,22.9,19.45,22.65,22.6197,2.9527,94153,0,18521
238,2022-01-19,F (Jan 2022),22.45,23.5,21.7,22.25,22.79,0.1703,1254,0,17199
239,2022-01-20,G (Feb 2022),24.0,25.88,22.4,25.45,24.9658,0.8971,120318,220,149017
240,2022-01-21,G (Feb 2022),25.5,27.6,24.9,27.4,27.3086,2.3428,217083,1223,141983
241,2022-01-24,G (Feb 2022),27.25,33.1,26.15,28.1,28.0683,0.7597,301461,0,148969
242,2022-01-25,G (Feb 2022),28.05,31.15,27.21,29.25,28.1645,0.0962,182278,0,134243
243,2022-01-26,G (Feb 2022),29.2,29.45,25.45,28.6,28.633,0.4685,162298,0,129385
244,2022-01-27,G (Feb 2022),28.4,30.7,26.45,27.97,28.8263,0.1933,141160,0,127036
245,2022-01-28,G (Feb 2022),28.0,30.1,26.55,27.1,26.8734,-1.9529,117246,0,123102
246,2022-01-31,G (Feb 2022),26.95,27.94,24.75,24.86,24.8523,-2.0211,111754,0,111441
247,2022-02-01,G (Feb 2022),24.85,25.15,22.6,22.83,22.7458,-2.1065,102397,0,102781
248,2022-02-02,G (Feb 2022),22.8,23.35,21.95,22.95,22.0259,-0.7199,104722,0,97533
249,2022-02-03,G (Feb 2022),23.05,25.85,23.03,23.9,25.7306,3.7047,144294,0,90261
250,2022-02-04,G (Feb 2022),24.1,26.1,23.32,24.35,24.2613,-1.4693,125528,0,78090
251,2022-02-07,G (Feb 2022),24.3,24.7,22.85,23.35,23.6521,-0.6092,76932,0,71080
252,2022-02-08,G (Feb 2022),23.45,23.91,22.2,22.4,22.3116,-1.3405,75944,379,62724
253,2022-02-09,G (Feb 2022),22.35,22.38,21.1,21.38,21.1561,-1.1555,74638,630,56620
254,2022-02-10,G (Feb 2022),21.35,24.95,21.25,24.2,24.2186,3.0625,116707,30,46115
255,2022-02-11,G (Feb 2022),24.2,29.7,23.7,27.05,27.814,3.5954,131665,0,37514
256,2022-02-14,G (Feb 2022),27.4,30.82,27.2,28.45,28.3374,0.5234,99259,0,29487
257,2022-02-15,G (Feb 2022),28.25,28.8,25.22,25.85,25.3833,-2.9541,74087,0,16539
258,2022-02-16,G (Feb 2022),25.8,26.3,24.65,26.28,26.37,0.9867,1050,0,15038
259,2022-02-17,H (Mar 2022),24.55,27.8,24.28,27.65,27.5683,3.096,123784,0,141732
260,2022-02-18,H (Mar 2022),27.6,28.85,26.25,28.25,28.1482,0.5799,106504,0,137933
261,2022-02-22,H (Mar 2022),28.35,30.3,26.75,27.9,27.9601,-0.1881,142176,0,132927
262,2022-02-23,H (Mar 2022),27.82,29.82,26.68,29.75,29.6693,1.7092,106590,0,128101
263,2022-02-24,H (Mar 2022),29.8,34.05,28.44,28.96,28.5487,-1.1206,162778,913,123842
264,2022-02-25,H (Mar 2022),28.79,30.44,26.82,27.35,27.2572,-1.2915,109594,0,109415
265,2022-02-28,H (Mar 2022),29.5,31.1,28.04,28.64,28.6169,1.3597,126566,0,108857
