DATE,OPEN,HIGH,LOW,CLOSE
04/09/2026,41.920000,42.090000,40.680000,40.680000
04/10/2026,40.350000,43.130000,40.160000,42.380000
04/13/2026,44.140000,44.140000,41.680000,41.780000
04/14/2026,41.500000,41.830000,40.460000,41.770000
04/15/2026,41.470000,42.730000,41.120000,42.700000
04/16/2026,42.880000,42.990000,41.780000,41.870000
04/17/2026,41.880000,41.980000,40.430000,41.170000
04/20/2026,43.220000,43.260000,41.690000,41.710000
04/21/2026,42.410000,44.160000,41.960000,43.990000
04/22/2026,42.890000,44.150000,42.710000,44.030000
04/23/2026,44.660000,46.980000,44.030000,45.120000
04/24/2026,44.220000,47.490000,44.220000,46.580000
04/27/2026,47.520000,48.180000,46.000000,46.060000
04/28/2026,47.070000,47.330000,44.580000,44.820000
04/29/2026,44.700000,46.110000,44.700000,45.420000
04/30/2026,44.570000,44.730000,42.830000,43.040000
05/01/2026,43.340000,43.460000,42.180000,42.320000
05/04/2026,43.750000,44.560000,43.030000,43.570000
05/05/2026,43.400000,45.210000,42.780000,44.750000
05/06/2026,44.320000,45.380000,43.770000,45.320000
05/07/2026,45.850000,45.850000,43.730000,45.040000
05/08/2026,45.190000,47.190000,44.780000,46.640000
05/11/2026,48.940000,50.170000,48.640000,49.750000
05/12/2026,49.500000,50.500000,48.320000,48.540000
05/13/2026,49.040000,50.440000,49.040000,50.260000
05/14/2026,50.280000,50.630000,48.970000,49.070000
05/15/2026,49.930000,51.490000,49.000000,50.100000
05/18/2026,51.180000,51.620000,49.140000,49.310000
05/19/2026,50.090000,50.130000,48.230000,48.820000
05/20/2026,49.130000,49.990000,48.270000,48.400000
05/21/2026,48.460000,48.460000,45.320000,45.540000
05/22/2026,45.600000,47.530000,44.710000,47.360000
05/26/2026,49.070000,51.350000,48.350000,51.340000
05/27/2026,51.640000,52.000000,50.050000,50.180000
05/28/2026,50.570000,50.580000,49.720000,50.170000
05/29/2026,50.530000,52.190000,50.100000,52.190000
06/01/2026,53.780000,54.200000,53.050000,54.040000
06/02/2026,54.370000,55.750000,54.280000,55.750000
06/03/2026,56.650000,56.930000,54.860000,55.640000
06/04/2026,57.920000,57.970000,53.770000,53.770000
06/05/2026,54.670000,58.380000,54.350000,57.500000
06/08/2026,56.740000,57.870000,55.830000,56.970000
06/09/2026,57.190000,63.140000,56.320000,58.760000
06/10/2026,59.760000,61.360000,58.840000,61.220000
06/11/2026,60.720000,62.340000,60.010000,61.320000
06/12/2026,60.910000,62.010000,59.110000,59.250000
06/15/2026,58.810000,59.690000,54.460000,55.760000
06/16/2026,56.440000,57.940000,54.720000,57.410000
06/17/2026,57.090000,59.350000,55.910000,59.350000
06/18/2026,57.170000,61.020000,57.170000,60.920000
06/22/2026,62.730000,62.730000,59.550000,61.080000
06/23/2026,64.540000,65.080000,61.830000,63.370000
06/24/2026,63.740000,63.860000,60.810000,62.290000
06/25/2026,59.940000,64.450000,59.750000,60.740000
06/26/2026,62.920000,62.930000,61.170000,62.560000
06/29/2026,63.150000,63.150000,58.700000,59.550000
06/30/2026,59.650000,59.650000,57.300000,58.290000
07/01/2026,59.720000,60.890000,58.460000,59.780000
07/02/2026,60.590000,61.830000,58.360000,61.330000
07/06/2026,62.950000,62.950000,60.440000,61.260000
07/07/2026,62.820000,62.880000,60.270000,61.400000
07/08/2026,63.100000,63.100000,61.740000,61.920000
07/09/2026,61.500000,63.040000,60.750000,61.070000
07/10/2026,61.560000,61.560000,57.790000,58.370000
07/13/2026,61.530000,64.250000,60.660000,64.080000
07/14/2026,62.030000,64.130000,61.780000,62.230000
07/15/2026,62.120000,64.520000,60.630000,60.730000
07/16/2026,61.780000,62.740000,60.160000,62.320000
07/17/2026,63.330000,66.000000,63.160000,63.780000
07/20/2026,64.400000,65.400000,63.240000,64.570000
07/21/2026,62.520000,63.210000,60.880000,61.210000
07/22/2026,62.440000,62.440000,61.060000,62.250000
07/23/2026,64.430000,64.430000,61.910000,63.060000
07/24/2026,63.150000,63.190000,59.730000,62.660000
07/27/2026,61.960000,65.430000,61.400000,61.980000
07/28/2026,63.000000,64.110000,61.220000,61.800000
07/29/2026,62.380000,63.810000,60.700000,63.540000
07/30/2026,60.930000,61.410000,55.950000,56.650000
