Trade Date,vix_call_vol,vix_put_vol,vix_call_oi,vix_put_oi,vix_pc_ratio,spx_call_vol,spx_put_vol,spx_call_oi,spx_put_oi,spx_pc_ratio,equity_call_vol,equity_put_vol,equity_call_oi,equity_put_oi,equity_pc_ratio,source,source_ts,complete
2026-07-15,473405,166100,9751868,3708100,0.351,2419723,2776730,9836580,13320576,1.148,3318088.0,2293731.0,269038288.0,168184285.0,0.691,daily_options,,
2026-07-16,657194,161897,9884106,3704068,0.246,2415788,2821553,9928006,13484300,1.168,2826531.0,1904413.0,272550338.0,170524099.0,0.674,daily_options,,
2026-07-17,875257,310831,10269628,3728933,0.355,2466270,2919722,10055149,13647216,1.184,3084643.0,2249331.0,277822866.0,172962274.0,0.729,daily_options,,
2026-07-20,394406,247825,10571675,3791384,0.628,2197044,2514257,8899931,11951417,1.144,2219427.0,1463035.0,230814925.0,146059584.0,0.659,daily_options,,
2026-07-21,900905,456135,10677510,3824671,0.506,1847296,2280108,8998008,12086247,1.234,1919693.0,1246771.0,236120024.0,148948659.0,0.649,daily_options,,
2026-07-22,406605,289760,10989609,3863362,0.713,1969140,2240439,9092918,12288186,1.138,2033485.0,1363666.0,240905107.0,152343919.0,0.671,daily_options,,
2026-07-23,1126253,331760,7971812,2719817,0.295,2511690,2741406,9183680,12477552,1.091,2326171.0,1408920.0,244985820.0,154919659.0,0.606,daily_options,,
2026-07-24,409573,173690,8133912,2826198,0.424,2424774,2848500,9305551,12684890,1.175,2716358.0,2149973.0,249237075.0,157291136.0,0.791,daily_options,,
2026-07-27,234157,117828,8388620,2876242,0.503,2359814,2518158,9335648,12532376,1.067,2197659.0,1459922.0,239829306.0,151728232.0,0.664,daily_options,,
2026-07-28,245090,211040,8483233,2914697,0.861,2193360,2481075,9384664,12568130,1.131,1831831.0,1292653.0,244418625.0,154410137.0,0.706,daily_options,,
2026-07-29,503413,337360,8593709,2936110,0.67,2323471,2847522,9475575,12748676,1.226,2166529.0,1316441.0,248895693.0,157389451.0,0.608,daily_options,,
2026-07-30,749746,265229,8608074,3041742,0.354,2427172,2856138,9566881,12885636,1.177,2210946.0,1347105.0,252934476.0,160005878.0,0.609,daily_options,,
2026-07-31,465415,161206,8483103,3179589,0.346,2585592,2849143,9709615,13111858,1.102,2367222.0,1480429.0,257577587.0,163080758.0,0.625,daily_options,,
2026-08-03,516366,346852,8783882,3203205,0.672,2979473,2693503,9437689,12819333,0.904,2991553.0,1645452.0,247576648.0,156853727.0,0.55,daily_options,,
2026-08-04,611060,201425,8799921,3255687,0.33,4023796,3369211,9647367,12954981,0.837,2592500.0,1187856.0,254707338.0,161040833.0,0.458,daily_options,,
2026-08-05,590352,228876,8768125,3299649,0.388,2708153,2852000,10019030,13358462,1.053,2459217.0,1475844.0,261088986.0,164994285.0,0.6,daily_options,,
