sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
data center - optics,CRDO,2026-03-30,42.59,48.70,15.16,201.0%,428.0%,400.0%,435.0%
data center - optics,MTSI,2026-03-30,71.13,98.49,15.39,25.0%,-129.0%,44.0%,-129.0%
data center - optics,SMTC,2026-03-30,39.74,NA,6.25,9.0%,-568.0%,1.0%,-176.0%
data center - optics,LITE,2026-03-30,188.44,200.22,22.21,65.0%,-328.0%,818.0%,-228.0%
data center - optics,COHR,2026-03-30,35.19,217.39,6.54,17.0%,31.0%,21.0%,104.0%
data center - optics,FN,2026-03-30,37.99,47.17,4.53,36.0%,26.0%,52.0%,30.0%
data center - optics,CIEN,2026-03-30,90.97,231.79,10.07,27.0%,852.0%,242.0%,1575.0%
data center - optics,CSCO,2026-03-30,19.43,27.10,5.15,10.0%,26.0%,15.0%,31.0%
data center - optics,ADI,2026-03-30,27.87,55.37,12.59,30.0%,117.0%,44.0%,112.0%
data center - optics,TXN,2026-03-30,22.07,34.23,9.60,10.0%,1.0%,14.0%,-4.0%
data center - optics,APH,2026-03-30,21.93,35.68,6.34,49.0%,81.0%,82.0%,60.0%
data center - optics,TEL,2026-03-30,13.78,28.65,3.22,22.0%,36.0%,34.0%,42.0%
data center - optics,GLW,2026-03-30,31.77,69.91,7.06,20.0%,55.0%,48.0%,74.0%
,,,,,,,,,
data center - NAND/SSD,STX,2026-03-30,29.16,40.99,7.86,22.0%,102.0%,66.0%,76.0%
data center - NAND/SSD,WDC,2026-03-30,25.61,25.27,7.95,-30.0%,165.0%,18.0%,209.0%
data center - NAND/SSD,SNDK,2026-03-30,58.87,NA,9.46,61.0%,442.0%,404.0%,672.0%
,,,,,,,,,
data center - server,DELL,2026-03-30,10.62,18.89,0.93,40.0%,42.0%,35.0%,47.0%
data center - server,SMCI,2026-03-30,12.18,15.64,0.45,123.0%,33.0%,30.0%,25.0%
,,,,,,,,,
data center - 板级DC-DC(48VDC->6VDC->VRM->1VDC for GPU/CPU),MPWR,2026-03-30,61.45,78.66,17.64,21.0%,24.0%,24.0%,-88.0%
data center - 板级DC-DC(48VDC->6VDC->VRM->1VDC for GPU/CPU),VICR,2026-03-30,105.15,54.61,15.83,12.0%,64.0%,51.0%,354.0%
,,,,,,,,,
data center - 服务器电源(PowerShelf/Front-End PSU/415VAC->48VDC架构),AEIS,2026-03-30,41.58,78.17,6.26,18.0%,41.0%,56.0%,7.0%
,,,,,,,,,
data center - 机房配电UPS/PDU(415VAC->415VAC),NVT,2026-03-30,23.50,26.40,4.68,42.0%,58.0%,26.0%,982.0%
data center - 机房配电UPS/PDU(415VAC->415VAC),ETN,2026-03-30,22.21,32.86,4.85,13.0%,11.0%,6.0%,17.0%
data center - 机房配电UPS/PDU(415VAC->415VAC),VRT,2026-03-30,41.47,68.68,8.76,23.0%,130.0%,28.0%,203.0%
data center - 机房配电UPS/PDU(415VAC->415VAC),POWL,2026-03-30,23.93,32.65,5.48,4.0%,19.0%,20.0%,19.0%
,,,,,,,,,
data center - (34.5/13.8/4.16kVAC->415VAC,ETN,2026-03-30,22.21,32.86,4.85,13.0%,11.0%,6.0%,17.0%
data center - (34.5/13.8/4.16kVAC->415VAC,HUBB,2026-03-30,18.81,28.33,4.29,12.0%,15.0%,19.0%,14.0%
,,,,,,,,,
data center - UPS battery,ENS,2026-03-30,11.56,20.66,1.65,1.0%,-16.0%,-7.0%,-21.0%
data center - UPS battery,FLNC,2026-03-30,NA,NA,0.94,154.0%,20.0%,4.0%,9.0%
,,,,,,,,,
data center - onsite power generator,CAT,2026-03-30,24.86,35.45,4.59,18.0%,-7.0%,2.0%,-14.0%
data center - onsite power generator,GEV,2026-03-30,78.74,45.95,5.79,4.0%,-1.0%,48.0%,657.0%
data center - onsite power generator,CMI,2026-03-30,15.26,24.95,2.10,1.0%,19.0%,-2.0%,42.0%
data center - onsite power generator,FTAI,2026-03-30,26.63,49.59,9.34,32.0%,24.0%,18.0%,29.0%
data center - onsite power generator,BE,2026-03-30,211.57,NA,16.57,36.0%,-98.0%,-15.0%,-99.0%
,,,,,,,,,
data center - construction builder,EME,2026-03-30,17.34,24.77,1.84,20.0%,45.0%,13.0%,49.0%
data center - construction builder,FIX,2026-03-30,30.45,44.06,4.92,42.0%,125.0%,78.0%,127.0%
data center - construction builder,URI,2026-03-30,8.50,18.46,2.79,3.0%,-4.0%,0.0%,-5.0%
,,,,,,,,,
"data center - 电网侧≥115kV, 115kV->34.5kV",PWR,2026-03-30,33.16,78.57,2.80,20.0%,1.0%,15.0%,3.0%
"data center - 电网侧≥115kV, 115kV->34.5kV",MYRG,2026-03-30,17.91,35.43,1.13,17.0%,72.0%,41.0%,129.0%
,,,,,,,,,
data center - new IPP,TLN,2026-03-30,9.98,NA,3.27,74.0%,1362.0%,-338.0%,-543.0%
data center - new IPP,OKLO,2026-03-30,NA,NA,NA,,326.0%,272.0%,303.0%
