,ticker,date,TTM P/E (GAAP),TTM P/S (GAAP)
68,CIFR,2026-01-08,NA,31.67
69,NVDA,2026-01-08,45.83,24.03
70,MU,2026-01-08,31.09,8.70
71,AVGO,2026-01-08,69.84,24.67
72,AMD,2026-01-08,101.16,10.40
73,TSM,2026-01-08,32.59,14.25
74,ASX,2026-01-08,34.50,1.89
75,AMKR,2026-01-08,41.10,1.95
76,ANET,2026-01-08,47.08,18.44
77,MRVL,2026-01-08,29.22,9.08
78,TER,2026-01-08,78.73,11.85
79,CRDO,2026-01-08,123.59,32.12
80,MTSI,2026-01-08,NA,12.99
81,SMTC,2026-01-08,237.31,6.51
82,COHR,2026-01-08,249.53,4.50
83,CIEN,2026-01-08,265.14,6.65
84,CSCO,2026-01-08,27.89,5.06
85,GLW,2026-01-08,54.12,4.91
86,STX,2026-01-08,36.52,6.36
87,WDC,2026-01-08,27.36,5.35
88,SNDK,2026-01-08,NA,6.30
89,ASML,2026-01-08,44.72,13.03
90,LRCX,2026-01-08,44.28,12.88
91,KLAC,2026-01-08,41.59,13.90
92,DELL,2026-01-08,15.80,0.75
93,SMCI,2026-01-08,23.96,0.85
94,MPWR,2026-01-08,24.49,17.27
95,NVT,2026-01-08,28.30,4.63
96,VRT,2026-01-08,60.60,6.34
97,ETN,2026-01-08,32.06,4.68
98,CAT,2026-01-08,31.20,4.40
99,CMI,2026-01-08,28.26,2.24
100,BE,2026-01-08,NA,15.84
101,EME,2026-01-08,25.27,1.73
102,FIX,2026-01-08,41.14,4.12
103,POWL,2026-01-08,24.23,3.96
104,GEV,2026-01-08,101.84,4.53
105,PWR,2026-01-08,61.29,2.27
106,TLN,2026-01-08,77.33,4.01
107,BWXT,2026-01-08,57.78,5.77
108,OKLO,2026-01-08,NA,NA
109,SMR,2026-01-08,NA,93.19
110,CEG,2026-01-08,36.94,3.75
111,VST,2026-01-08,53.80,2.32
112,NRG,2026-01-08,20.98,0.92
113,URI,2026-01-08,23.61,3.65
114,CCJ,2026-01-08,122.08,18.60
115,UEC,2026-01-08,NA,141.56
116,LEU,2026-01-08,43.51,11.48
117,TT,2026-01-08,29.12,3.99
118,CARR,2026-01-08,21.61,2.06
119,JCI,2026-01-08,21.85,2.88
120,SPXC,2026-01-08,44.25,4.78
121,QCOM,2026-01-08,37.19,4.40
122,INTC,2026-01-08,3878.30,3.83
123,ARM,2026-01-08,145.22,27.19
124,PH,2026-01-08,32.29,5.71
125,ALNT,2026-01-08,50.21,1.78
126,ROK,2026-01-08,52.70,5.44
127,SNPS,2026-01-08,64.12,13.96
128,SYM,2026-01-08,NA,18.85
129,ATI,2026-01-08,38.24,3.52
130,MP,2026-01-08,NA,46.50
131,AA,2026-01-08,13.87,1.21
132,ALB,2026-01-08,NA,3.77
133,FLNC,2026-01-08,NA,1.71
134,IBM,2026-01-08,36.21,4.33
135,IONQ,2026-01-08,NA,223.87
136,RGTI,2026-01-08,NA,1112.57
137,ORCL,2026-01-08,35.64,8.93
138,SAP,2026-01-08,36.10,6.80
139,CRM,2026-01-08,34.76,6.05
140,NOW,2026-01-08,88.39,11.98
141,ADBE,2026-01-08,20.30,5.97
142,INTU,2026-01-08,44.70,9.35
143,ADP,2026-01-08,26.20,5.14
144,WDAY,2026-01-08,88.08,5.99
145,ADSK,2026-01-08,53.69,8.53
146,TEAM,2026-01-08,NA,7.23
147,HUBS,2026-01-08,NA,6.49
148,TWLO,2026-01-08,329.65,4.26
149,ZM,2026-01-08,16.64,5.28
150,DOCU,2026-01-08,48.85,4.43
151,BILL,2026-01-08,NA,3.64
152,GDDY,2026-01-08,19.92,3.21
153,WIX,2026-01-08,42.22,2.77
154,PATH,2026-01-08,39.81,5.81
155,JPM,2026-01-08,16.34,3.23
156,BAC,2026-01-08,15.31,2.09
157,C,2026-01-08,16.96,1.27
158,BK,2026-01-08,17.32,2.06
159,MS,2026-01-08,18.96,2.60
160,GS,2026-01-08,18.99,2.22
161,AXP,2026-01-08,25.72,3.35
162,COF,2026-01-08,108.44,2.59
163,AFRM,2026-01-08,119.03,8.42
164,KLAR,2026-01-08,NA,6.75
165,SOFI,2026-01-08,50.26,7.87
166,UPST,2026-01-08,222.17,5.09
167,FICO,2026-01-08,59.73,18.88
168,V,2026-01-08,34.87,16.84
169,MA,2026-01-08,37.10,16.54
170,FISV,2026-01-08,10.75,1.77
171,PYPL,2026-01-08,11.69,1.66
172,XYZ,2026-01-08,14.12,1.78
173,TOST,2026-01-08,83.99,3.68
174,SCHW,2026-01-08,23.77,6.63
175,IBKR,2026-01-08,33.80,3.09
176,HOOD,2026-01-08,47.90,24.55
177,COIN,2026-01-08,21.26,7.58
178,PLTR,2026-01-08,413.61,108.19
179,KTOS,2026-01-08,847.23,13.67
180,AVAV,2026-01-08,NA,12.57
181,ONDS,2026-01-08,NA,215.54
182,RTX,2026-01-08,38.43,2.92
183,LMT,2026-01-08,28.94,1.64
