sector	ticker	date	TTM P/E (GAAP)	TTM P/S (GAAP)	rev yoy%	EBIT yoy	EBITDA yoy	Net Income yoy
data center - IT侧配电(PDU/RPP/机柜侧高功率连接）	NVT	2026-01-16	31.01	5.07	35.0%	42.0%	32.0%	15.0%
								
data center - UPS battery	ENS	2026-01-16	19.63	1.66	8.0%	-9.0%	15.0%	-17.0%
								
data center - 设施侧关键电力(Switchgear/Busway/PowerPods/模块化电力房）	ETN	2026-01-16	34.41	5.02	10.0%	6.0%	16.0%	0.0%
data center - 设施侧关键电力(Switchgear/Busway/PowerPods/模块化电力房）	VRT	2026-01-16	66.55	6.96	29.0%	83.0%	39.0%	126.0%
data center - 设施侧关键电力(Switchgear/Busway/PowerPods/模块化电力房）	FLEX	2026-01-16	28.57	0.91	4.0%	-1.0%	6.0%	-7.0%
data center - 设施侧关键电力(Switchgear/Busway/PowerPods/模块化电力房）	POWL	2026-01-16	28.46	4.65	8.0%	12.0%	15.0%	12.0%
								
data center - 230kV->13.8kV	HUBB	2026-01-16	30.43	4.59	4.0%	11.0%	9.0%	16.0%
								
data center - onsite power generator	CAT	2026-01-16	33.03	4.66	10.0%	1.0%	-3.0%	-7.0%
data center - onsite power generator	CMI	2026-01-16	30.12	2.39	-2.0%	-20.0%	0.0%	-34.0%
data center - onsite power generator	BE	2026-01-16	NA	19.35	57.0%	56.0%	144.0%	57.0%
								
data center - construction builder	EME	2026-01-16	28.14	1.93	16.0%	10.0%	14.0%	9.0%
data center - construction builder	FIX	2026-01-16	47.56	4.76	35.0%	97.0%	74.0%	99.0%
								
data center - medium volt transformer	GEV	2026-01-16	109.67	4.87	12.0%	-711.0%	180.0%	-571.0%
data center - medium volt transformer	PWR	2026-01-16	69.32	2.56	18.0%	21.0%	24.0%	16.0%
								
data center - new IPP	TLN	2026-01-16	80.41	4.17	35.0%	70.0%	43.0%	23.0%
data center - new IPP	OKLO	2026-01-16	NA	NA		200.0%	196.0%	198.0%
data center - new IPP	SMR	2026-01-16	NA	95.53	1653.0%	1070.0%	1226.0%	1465.0%
								
data center - IPP	CEG	2026-01-16	35.17	3.57	23.0%	-15.0%	23.0%	-22.0%
data center - IPP	VST	2026-01-16	59.62	2.57	-3.0%	-64.0%	-20.0%	-67.0%
data center - IPP	NRG	2026-01-16	22.10	0.97	5.0%	-123.0%	-68.0%	-117.0%
								
data center - uranium	URI	2026-01-16	23.77	3.68	6.0%	-1.0%	2.0%	-1.0%
data center - uranium	CCJ	2026-01-16	134.31	20.46	-16.0%	-58.0%	-20.0%	-102.0%
data center - uranium	UEC	2026-01-16	NA	172.57	-100.0%	-49.0%	120.0%	-49.0%
data center - uranium	LEU	2026-01-16	49.77	13.13	30.0%	36.0%	208.0%	-178.0%
								
data center - HVAC	TT	2026-01-16	29.90	4.09	6.0%	13.0%	14.0%	10.0%
data center - HVAC	CARR	2026-01-16	22.53	2.14	-7.0%	-44.0%	-17.0%	-28.0%
data center - HVAC	JCI	2026-01-16	22.50	2.97	3.0%	-45.0%	1.0%	167.0%
data center - HVAC	SPXC	2026-01-16	46.36	5.01	23.0%	23.0%	32.0%	24.0%
								
chips	QCOM	2026-01-16	32.59	3.85	10.0%	14.0%	6.0%	-207.0%
chips	INTC	2026-01-16	4440.57	4.39	3.0%	-150.0%	2075.0%	-124.0%
chips	ARM	2026-01-16	136.60	25.58	34.0%	372.0%	102.0%	122.0%
								
robotic	PH	2026-01-16	33.65	5.95	4.0%	19.0%	8.0%	16.0%
robotic	ALNT	2026-01-16	55.01	1.95	11.0%	207.0%	46.0%	209.0%
robotic	ROK	2026-01-16	54.26	5.60	14.0%	-77.0%	38.0%	-42.0%
robotic	SNPS	2026-01-16	64.50	14.04	38.0%	60.0%	38.0%	-60.0%
robotic	SYM	2026-01-16	NA	17.84	7.0%	-142.0%	-115.0%	-173.0%
robotic	ATI	2026-01-16	40.21	3.70	7.0%	26.0%	15.0%	33.0%
								
material - rare earth	MP	2026-01-16	NA	52.41	-15.0%	68.0%	82.0%	64.0%
material - rare earth	CRML	2026-01-16	NA	NA	N/A	N/A	N/A	N/A
								
material - aluminum/copper/lithium	AA	2026-01-16	13.64	1.19	3.0%	-9.0%	-51.0%	158.0%
material - aluminum/copper/lithium	SCCO	2026-01-16	38.86	12.00	15.0%	21.0%	20.0%	24.0%
material - aluminum/copper/lithium	ALB	2026-01-16	NA	3.87	-3.0%	-80.0%	-215.0%	-82.0%
material - aluminum/copper/lithium	LAC	2026-01-16	NA	NA		2371.0%	69.0%	2353.0%
material - aluminum/copper/lithium	FLNC	2026-01-16	NA	2.21	-15.0%	-39.0%	-5.0%	-62.0%
								
quatum	IBM	2026-01-16	36.61	4.37	9.0%	-403.0%	26.0%	-628.0%
quatum	IONQ	2026-01-16	NA	226.31	222.0%	1920.0%	166.0%	1909.0%
quatum	RGTI	2026-01-16	NA	1132.14	-18.0%	1255.0%	19.0%	1255.0%
								
TMT - SAAS	SAP	2026-01-16	35.00	6.60	14.0%	36.0%	19.0%	46.0%
TMT - SAAS	CRM	2026-01-16	30.40	5.29	9.0%	44.0%	17.0%	37.0%
