sector	ticker	date	TTM EV/EBITDA	TTM P/E (GAAP)	TTM P/S (GAAP)	rev yoy%	EBIT yoy	EBITDA yoy	Net Income yoy
material - steel/copper/aluminum/lithium	AA	2026-02-14	8.79	13.39	1.23	-13.0%	-74.0%	-54.0%	12.0%
material - steel/copper/aluminum/lithium	CENX	2026-02-14	18.54	57.65	1.70	17.0%	-79.0%	-10.0%	-69.0%
material - steel/copper/aluminum/lithium	ALB	2026-02-14	31.74	NA	3.81	16.0%	-471.0%	44.0%	-1457.0%
material - steel/copper/aluminum/lithium	LAC	2026-02-14	NA	NA	NA		2371.0%	69.0%	2353.0%
									
aerospace - & defense	RKLB	2026-02-14	NA	NA	64.96	48.0%	16.0%	7.0%	-65.0%
aerospace - & defense	DXYZ	2026-02-14	22.34	16.91	NA	-5512.0%	-297.0%	N/A	-297.0%
aerospace - & defense	FLY	2026-02-14	NA	NA	27.63	38.0%	227.0%	96.0%	204.0%
aerospace - & defense	LUNR	2026-02-14	NA	NA	13.22	-10.0%	-88.0%	32.0%	-87.0%
aerospace - & defense	RDW	2026-02-14	NA	NA	4.47	51.0%	60.0%	566.0%	76.0%
aerospace - & defense	PL	2026-02-14	NA	NA	26.46	33.0%	191.0%	-37.0%	195.0%
aerospace - & defense	PLTR	2026-02-14	212.73	206.52	69.98	70.0%	672.0%	3127.0%	670.0%
aerospace - & defense	KTOS	2026-02-14	183.08	725.24	11.81	26.0%	105.0%	12.0%	172.0%
aerospace - & defense	AVAV	2026-02-14	93.26	NA	8.89	151.0%	-425.0%	126.0%	-327.0%
aerospace - & defense	ONDS	2026-02-14	NA	NA	169.11	582.0%	-25.0%	100.0%	-18.0%
aerospace - & defense	RTX	2026-02-14	22.84	40.32	3.03	12.0%	14.0%	15.0%	9.0%
aerospace - & defense	LMT	2026-02-14	18.14	30.37	2.00	9.0%	195.0%	142.0%	155.0%
aerospace - & defense	NOC	2026-02-14	19.68	24.07	2.38	10.0%	12.0%	12.0%	13.0%
aerospace - & defense	LHX	2026-02-14	21.00	40.50	2.95	2.0%	-22.0%	-7.0%	-34.0%
aerospace - & defense	MOG-A	2026-02-14	20.84	40.15	2.54	21.0%	48.0%	27.0%	48.0%
aerospace - & defense	GD	2026-02-14	16.16	22.49	1.79	8.0%	2.0%	2.0%	0.0%
aerospace - & defense	HII	2026-02-14	19.89	27.26	1.32	16.0%	51.0%	43.0%	29.0%
aerospace - & defense	CW	2026-02-14	34.11	53.16	7.21	15.0%	16.0%	13.0%	16.0%
aerospace - & defense	BWXT	2026-02-14	45.49	59.94	5.99	29.0%	19.0%	19.0%	18.0%
aerospace - & defense	LDOS	2026-02-14	11.44	16.44	1.30	7.0%	3.0%	4.0%	1.0%
aerospace - & defense	BAH	2026-02-14	9.98	11.79	0.84	-10.0%	-25.0%	-7.0%	7.0%
aerospace - & defense	CACI	2026-02-14	15.01	24.54	1.41	6.0%	18.0%	13.0%	13.0%
aerospace - & defense	USAS	2026-02-14	NA	NA	19.25	38.0%	-6.0%	299.0%	12.0%
aerospace - & defense	ALM	2026-02-14	NA	NA	169.08	27.0%	-769.0%	54.0%	-718.0%
aerospace - & defense	UAMY	2026-02-14	NA	NA	32.24	260.0%	603.0%	608.0%	555.0%
									
material - rare earth(永磁体)	CRS	2026-02-14	26.04	44.12	6.43	8.0%	24.0%	24.0%	25.0%
material - rare earth(永磁体)	MP	2026-02-14	NA	NA	44.19	-15.0%	68.0%	82.0%	64.0%
