sector,ticker,date,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
data center - HVAC,JCI,2026-01-20,22.50,2.97,3.0%,-45.0%,1.0%,167.0%
data center - HVAC,SPXC,2026-01-20,46.48,5.02,23.0%,23.0%,32.0%,24.0%
,,,,,,,,
aerospace - & defense,RKLB,2026-01-20,NA,85.88,48.0%,16.0%,7.0%,-65.0%
aerospace - & defense,DXYZ,2026-01-20,16.77,NA,-5512.0%,-297.0%,N/A,-297.0%
aerospace - & defense,PL,2026-01-20,NA,31.09,33.0%,191.0%,-37.0%,195.0%
aerospace - & defense,FLY,2026-01-20,NA,43.44,38.0%,227.0%,96.0%,204.0%
aerospace - & defense,LUNR,2026-01-20,NA,17.36,-10.0%,-88.0%,32.0%,-87.0%
aerospace - & defense,PLTR,2026-01-20,394.13,103.10,63.0%,206.0%,229.0%,231.0%
aerospace - & defense,KTOS,2026-01-20,1047.88,16.91,26.0%,105.0%,12.0%,172.0%
aerospace - & defense,AVAV,2026-01-20,NA,12.06,151.0%,-425.0%,126.0%,-327.0%
aerospace - & defense,ONDS,2026-01-20,NA,214.73,582.0%,-25.0%,100.0%,-18.0%
aerospace - & defense,RTX,2026-01-20,40.32,3.06,12.0%,28.0%,19.0%,30.0%
aerospace - & defense,LMT,2026-01-20,32.16,1.82,9.0%,1.0%,6.0%,0.0%
aerospace - & defense,NOC,2026-01-20,23.59,2.29,4.0%,11.0%,12.0%,7.0%
aerospace - & defense,LHX,2026-01-20,36.76,2.95,7.0%,32.0%,11.0%,16.0%
aerospace - & defense,GD,2026-01-20,23.28,1.88,11.0%,14.0%,11.0%,14.0%
aerospace - & defense,HII,2026-01-20,28.71,1.36,16.0%,82.0%,51.0%,44.0%
aerospace - & defense,CW,2026-01-20,52.98,7.11,9.0%,12.0%,13.0%,12.0%
aerospace - & defense,BWXT,2026-01-20,61.63,6.16,29.0%,19.0%,19.0%,18.0%
aerospace - & defense,LDOS,2026-01-20,17.81,1.41,7.0%,3.0%,4.0%,1.0%
aerospace - & defense,BAH,2026-01-20,14.27,0.97,-8.0%,-55.0%,-32.0%,-55.0%
