sector,ticker,date,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
TMT - consumer discretionary,DUOL,2026-01-11,22.46,8.32,41.0%,83.0%,155.0%,1151.0%
TMT - consumer discretionary,COUR,2026-01-11,NA,1.66,10.0%,-36.0%,-47.0%,-37.0%
TMT - consumer discretionary,RKT,2026-01-11,293.32,10.97,39.0%,-63.0%,N/A,463.0%
TMT - consumer discretionary,Z,2026-01-11,NA,6.67,16.0%,-160.0%,185.0%,-150.0%
TMT - consumer discretionary,IOT,2026-01-11,NA,12.83,29.0%,-124.0%,-653.0%,-121.0%
,,,,,,,,
TMT - cybersecurity,PANW,2026-01-11,119.89,13.92,16.0%,12.0%,-5.0%,-5.0%
TMT - cybersecurity,CRWD,2026-01-11,NA,25.62,22.0%,121.0%,2.0%,102.0%
TMT - cybersecurity,FTNT,2026-01-11,32.62,8.85,14.0%,-5.0%,17.0%,-12.0%
TMT - cybersecurity,ZS,2026-01-11,NA,12.40,26.0%,90.0%,-289.0%,-4.0%
TMT - cybersecurity,NET,2026-01-11,NA,32.53,31.0%,-114.0%,88.0%,-92.0%
TMT - cybersecurity,CYBR,2026-01-11,NA,17.86,43.0%,-338.0%,-163.0%,-554.0%
TMT - cybersecurity,OKTA,2026-01-11,84.68,5.86,12.0%,100.0%,683.0%,169.0%
TMT - cybersecurity,RBRK,2026-01-11,NA,11.99,48.0%,-53.0%,-44.0%,-51.0%
TMT - cybersecurity,CVLT,2026-01-11,69.95,5.00,18.0%,-9.0%,-18.0%,-5.0%
TMT - cybersecurity,NTNX,2026-01-11,71.45,5.49,13.0%,78.0%,29.0%,107.0%
TMT - cybersecurity,SNOW,2026-01-11,NA,17.46,29.0%,-12.0%,-15.0%,-9.0%
TMT - cybersecurity,MDB,2026-01-11,NA,14.53,19.0%,-119.0%,-58.0%,-79.0%
TMT - cybersecurity,DDOG,2026-01-11,425.10,14.27,28.0%,-36.0%,-22.0%,-34.0%
TMT - cybersecurity,DT,2026-01-11,25.36,6.96,18.0%,51.0%,29.0%,30.0%
,,,,,,,,
TMT - devops,GTLB,2026-01-11,NA,6.61,25.0%,-37.0%,-72.0%,-128.0%
TMT - devops,FROG,2026-01-11,NA,14.14,26.0%,-38.0%,-17.0%,-28.0%
TMT - devops,DBX,2026-01-11,15.46,2.72,-1.0%,18.0%,31.0%,16.0%
,,,,,,,,
TPU,WULF,2026-01-11,NA,32.08,87.0%,2170.0%,-3378.0%,1876.0%
TPU,CIFR,2026-01-11,NA,31.67,198.0%,-96.0%,-260.0%,-96.0%
TPU,GOOG,2026-01-11,32.47,10.29,16.0%,39.0%,25.0%,33.0%
TPU,AVGO,2026-01-11,72.46,24.67,28.0%,83.0%,30.0%,97.0%
TPU,TSM,2026-01-11,33.17,14.50,41.0%,48.0%,36.0%,50.0%
TPU,TTMI,2026-01-11,58.88,2.48,22.0%,147.0%,22.0%,271.0%
TPU,FLEX,2026-01-11,27.14,0.85,4.0%,-1.0%,6.0%,-7.0%
TPU,CLS,2026-01-11,49.06,3.08,28.0%,151.0%,45.0%,199.0%
TPU,MRVL,2026-01-11,29.14,9.08,37.0%,-395.0%,-22877.0%,-381.0%
TPU,APH,2026-01-11,46.72,7.95,53.0%,112.0%,81.0%,106.0%
TPU,LITE,2026-01-11,234.92,13.41,58.0%,-107.0%,1279.0%,-105.0%
TPU,ADI,2026-01-11,65.86,13.29,26.0%,72.0%,32.0%,65.0%
TPU,FN,2026-01-11,46.10,4.42,22.0%,26.0%,18.0%,24.0%
TPU,VICR,2026-01-11,77.96,16.02,19.0%,156.0%,158.0%,145.0%
,,,,,,,,
data center,NOK,2026-01-11,37.03,1.66,19.0%,10.0%,24.0%,-51.0%
,,,,,,,,
data center - hyper scaler,ORCL,2026-01-11,37.31,9.35,14.0%,86.0%,25.0%,95.0%
data center - hyper scaler,CRWV,2026-01-11,NA,8.92,134.0%,-26.0%,84.0%,-72.0%
data center - hyper scaler,NBIS,2026-01-11,NA,71.60,237.0%,118.0%,-51.0%,27.0%
data center - hyper scaler,IREN,2026-01-11,23.47,21.83,355.0%,-1241.0%,-444.0%,-844.0%
data center - hyper scaler,CIFR,2026-01-11,NA,31.67,198.0%,-96.0%,-260.0%,-96.0%
,,,,,,,,
data center - semi,NVDA,2026-01-11,45.79,24.00,62.0%,70.0%,65.0%,65.0%
data center - semi,MU,2026-01-11,32.80,9.18,57.0%,182.0%,97.0%,180.0%
data center - semi,AVGO,2026-01-11,72.46,24.67,28.0%,83.0%,30.0%,97.0%
data center - semi,AMD,2026-01-11,100.41,10.40,36.0%,78.0%,30.0%,61.0%
,,,,,,,,
data center - package,TSM,2026-01-11,33.17,14.50,41.0%,48.0%,36.0%,50.0%
data center - package,ASX,2026-01-11,35.12,1.92,14.0%,25.0%,23.0%,21.0%
data center - package,AMKR,2026-01-11,42.14,1.95,7.0%,9.0%,8.0%,3.0%
,,,,,,,,
data center - test,TER,2026-01-11,79.07,11.85,4.0%,-7.0%,-3.0%,-18.0%
,,,,,,,,
data center - router,ANET,2026-01-11,46.77,18.44,27.0%,22.0%,25.0%,14.0%
data center - router,MRVL,2026-01-11,29.14,9.08,37.0%,-395.0%,-22877.0%,-381.0%
,,,,,,,,
data center - optics,CRDO,2026-01-11,131.30,32.12,272.0%,-2230.0%,-2601.0%,-2058.0%
data center - optics,MTSI,2026-01-11,NA,12.99,30.0%,72.0%,25.0%,53.0%
data center - optics,SMTC,2026-01-11,255.72,6.51,13.0%,-225.0%,45.0%,-62.0%
data center - optics,COHR,2026-01-11,256.61,4.50,17.0%,1024.0%,20.0%,-3342.0%
data center - optics,CIEN,2026-01-11,271.44,6.65,26.0%,-96.0%,35.0%,-56.0%
data center - optics,CSCO,2026-01-11,27.86,5.06,8.0%,50.0%,7.0%,5.0%
data center - optics,GLW,2026-01-11,54.05,4.91,21.0%,-698.0%,20.0%,-468.0%
,,,,,,,,
data center - NAND/SSD,STX,2026-01-11,39.02,6.36,21.0%,94.0%,66.0%,80.0%
data center - NAND/SSD,WDC,2026-01-11,29.23,5.35,-31.0%,113.0%,-11.0%,140.0%
data center - NAND/SSD,SNDK,2026-01-11,NA,6.30,23.0%,-54.0%,-38.0%,-47.0%
,,,,,,,,
data center - semi equip,ASML,2026-01-11,47.70,13.89,7.0%,8.0%,9.0%,9.0%
data center - semi equip,LRCX,2026-01-11,48.12,12.88,28.0%,44.0%,42.0%,41.0%
data center - semi equip,KLAC,2026-01-11,43.95,13.90,13.0%,21.0%,13.0%,19.0%
,,,,,,,,
data center - server,DELL,2026-01-11,16.09,0.75,11.0%,39.0%,15.0%,37.0%
data center - server,SMCI,2026-01-11,24.17,0.85,-15.0%,-58.0%,-61.0%,-60.0%
,,,,,,,,
data center - PDU,MPWR,2026-01-11,24.49,17.27,19.0%,18.0%,20.0%,23.0%
data center - PDU,NVT,2026-01-11,29.03,4.63,35.0%,42.0%,32.0%,15.0%
data center - PDU,VRT,2026-01-11,61.66,6.34,29.0%,83.0%,39.0%,126.0%
data center - PDU,ETN,2026-01-11,32.45,4.68,10.0%,6.0%,16.0%,0.0%
,,,,,,,,
data center - onsite power generator,CAT,2026-01-11,31.69,4.40,10.0%,1.0%,-3.0%,-7.0%
data center - onsite power generator,CMI,2026-01-11,28.66,2.24,-2.0%,-20.0%,0.0%,-34.0%
data center - onsite power generator,BE,2026-01-11,NA,15.84,57.0%,56.0%,144.0%,57.0%
,,,,,,,,
data center - construction builder,EME,2026-01-11,25.99,1.73,16.0%,10.0%,14.0%,9.0%
data center - construction builder,FIX,2026-01-11,42.79,4.12,35.0%,97.0%,74.0%,99.0%
,,,,,,,,
data center - medium volt transformer,POWL,2026-01-11,24.61,3.96,8.0%,12.0%,15.0%,12.0%
data center - medium volt transformer,GEV,2026-01-11,100.88,4.48,12.0%,-711.0%,180.0%,-571.0%
data center - medium volt transformer,PWR,2026-01-11,62.69,2.32,18.0%,21.0%,24.0%,16.0%
,,,,,,,,
data center - new IPP,TLN,2026-01-11,80.56,4.01,35.0%,70.0%,43.0%,23.0%
data center - new IPP,BWXT,2026-01-11,60.25,5.77,29.0%,19.0%,19.0%,18.0%
data center - new IPP,OKLO,2026-01-11,NA,NA,,200.0%,196.0%,198.0%
data center - new IPP,SMR,2026-01-11,NA,93.19,1653.0%,1070.0%,1226.0%,1465.0%
,,,,,,,,
data center - IPP,CEG,2026-01-11,39.22,3.75,23.0%,-15.0%,23.0%,-22.0%
data center - IPP,VST,2026-01-11,59.43,2.32,-3.0%,-64.0%,-20.0%,-67.0%
data center - IPP,NRG,2026-01-11,21.81,0.92,5.0%,-123.0%,-68.0%,-117.0%
,,,,,,,,
data center - uranium,URI,2026-01-11,24.15,3.65,6.0%,-1.0%,2.0%,-1.0%
data center - uranium,CCJ,2026-01-11,124.16,18.91,-16.0%,-58.0%,-20.0%,-102.0%
data center - uranium,UEC,2026-01-11,NA,141.56,-100.0%,-49.0%,120.0%,-49.0%
data center - uranium,LEU,2026-01-11,46.54,11.48,30.0%,36.0%,208.0%,-178.0%
,,,,,,,,
data center - HVAC,TT,2026-01-11,29.38,3.99,6.0%,13.0%,14.0%,10.0%
data center - HVAC,CARR,2026-01-11,22.57,2.06,-7.0%,-44.0%,-17.0%,-28.0%
data center - HVAC,JCI,2026-01-11,21.77,2.88,3.0%,-45.0%,1.0%,167.0%
data center - HVAC,SPXC,2026-01-11,44.27,4.78,23.0%,23.0%,32.0%,24.0%
,,,,,,,,
chips,QCOM,2026-01-11,36.35,4.40,10.0%,14.0%,6.0%,-207.0%
chips,INTC,2026-01-11,4297.17,3.83,3.0%,-150.0%,2075.0%,-124.0%
chips,ARM,2026-01-11,143.56,26.88,34.0%,372.0%,102.0%,122.0%
,,,,,,,,
robotic,PH,2026-01-11,32.80,5.71,4.0%,19.0%,8.0%,16.0%
robotic,ALNT,2026-01-11,52.87,1.78,11.0%,207.0%,46.0%,209.0%
robotic,ROK,2026-01-11,53.60,5.44,14.0%,-77.0%,38.0%,-42.0%
robotic,SNPS,2026-01-11,65.46,13.96,38.0%,60.0%,38.0%,-60.0%
robotic,SYM,2026-01-11,NA,18.85,7.0%,-142.0%,-115.0%,-173.0%
robotic,ATI,2026-01-11,39.44,3.52,7.0%,26.0%,15.0%,33.0%
,,,,,,,,
rare earth,MP,2026-01-11,NA,46.50,-15.0%,68.0%,82.0%,64.0%
rare earth,CRML,2026-01-11,NA,NA,N/A,N/A,N/A,N/A
,,,,,,,,
material,AA,2026-01-11,14.46,1.21,3.0%,-9.0%,-51.0%,158.0%
material,ALB,2026-01-11,NA,3.84,-3.0%,-80.0%,-215.0%,-82.0%
material,LAC,2026-01-11,NA,NA,,2371.0%,69.0%,2353.0%
material,FLNC,2026-01-11,NA,1.71,-15.0%,-39.0%,-5.0%,-62.0%
,,,,,,,,
quatum,IBM,2026-01-11,36.39,4.33,9.0%,-403.0%,26.0%,-628.0%
quatum,IONQ,2026-01-11,NA,223.87,222.0%,1920.0%,166.0%,1909.0%
quatum,RGTI,2026-01-11,NA,1112.57,-18.0%,1255.0%,19.0%,1255.0%
,,,,,,,,
TMT - SAAS,ORCL,2026-01-11,37.31,9.35,14.0%,86.0%,25.0%,95.0%
TMT - SAAS,SAP,2026-01-11,37.01,6.98,14.0%,36.0%,19.0%,46.0%
TMT - SAAS,CRM,2026-01-11,34.68,6.04,9.0%,44.0%,17.0%,37.0%
TMT - SAAS,NOW,2026-01-11,85.74,11.98,22.0%,34.0%,37.0%,16.0%
TMT - SAAS,ADBE,2026-01-11,19.99,5.97,10.0%,14.0%,8.0%,10.0%
TMT - SAAS,INTU,2026-01-11,44.30,9.35,18.0%,163.0%,54.0%,126.0%
TMT - SAAS,ADP,2026-01-11,26.24,5.14,7.0%,6.0%,5.0%,6.0%
TMT - SAAS,WDAY,2026-01-11,86.99,5.92,13.0%,49.0%,48.0%,31.0%
TMT - SAAS,ADSK,2026-01-11,53.58,8.53,18.0%,33.0%,3.0%,25.0%
TMT - SAAS,TEAM,2026-01-11,NA,7.23,21.0%,87.0%,55.0%,-58.0%
TMT - SAAS,HUBS,2026-01-11,NA,6.49,21.0%,117.0%,192.0%,103.0%
TMT - SAAS,TWLO,2026-01-11,315.16,4.26,15.0%,-995.0%,78.0%,-483.0%
TMT - SAAS,ZM,2026-01-11,16.55,5.28,4.0%,183.0%,59.0%,196.0%
TMT - SAAS,DOCU,2026-01-11,48.16,4.43,8.0%,33.0%,34.0%,34.0%
TMT - SAAS,BILL,2026-01-11,NA,3.64,10.0%,-128.0%,-29.0%,-133.0%
TMT - SAAS,GDDY,2026-01-11,19.56,3.21,10.0%,21.0%,15.0%,10.0%
TMT - SAAS,WIX,2026-01-11,41.53,2.77,14.0%,-61.0%,7.0%,-102.0%
TMT - SAAS,PATH,2026-01-11,38.49,5.81,16.0%,-196.0%,-149.0%,-1967.0%
,,,,,,,,
Fin - bank,JPM,2026-01-11,16.31,3.23,N/A,10.0%,N/A,12.0%
Fin - bank,BAC,2026-01-11,15.22,2.09,N/A,29.0%,N/A,26.0%
Fin - bank,C,2026-01-11,17.06,1.28,N/A,22.0%,N/A,18.0%
Fin - bank,BK,2026-01-11,17.18,2.06,N/A,21.0%,N/A,21.0%
Fin - bank,MS,2026-01-11,19.12,2.60,N/A,43.0%,N/A,47.0%
Fin - bank,GS,2026-01-11,19.07,2.22,N/A,35.0%,N/A,39.0%
,,,,,,,,
Fin - credit,AXP,2026-01-11,25.22,3.35,10.0%,19.0%,N/A,16.0%
Fin - credit,COF,2026-01-11,105.69,2.52,N/A,98.0%,N/A,82.0%
Fin - credit,AFRM,2026-01-11,119.31,8.42,34.0%,-184.0%,N/A,-181.0%
Fin - credit,KLAR,2026-01-11,NA,6.75,28.0%,-680.0%,-216.0%,-628.0%
Fin - credit,SOFI,2026-01-11,49.68,7.87,28.0%,133.0%,N/A,129.0%
Fin - credit,UPST,2026-01-11,215.63,5.09,71.0%,-576.0%,-175.0%,-570.0%
Fin - credit,FICO,2026-01-11,62.74,18.88,14.0%,18.0%,25.0%,14.0%
,,,,,,,,
Fin - payment,V,2026-01-11,34.62,16.72,12.0%,-2.0%,11.0%,-4.0%
Fin - payment,MA,2026-01-11,36.81,16.41,17.0%,29.0%,21.0%,20.0%
Fin - payment,FISV,2026-01-11,10.80,1.77,1.0%,-24.0%,-15.0%,40.0%
Fin - payment,PYPL,2026-01-11,11.57,1.64,8.0%,17.0%,9.0%,24.0%
Fin - payment,XYZ,2026-01-11,13.99,1.78,2.0%,86.0%,28.0%,63.0%
Fin - payment,TOST,2026-01-11,81.33,3.68,25.0%,82.0%,115.0%,88.0%
,,,,,,,,
Fin - broker,SCHW,2026-01-11,23.50,6.55,7.0%,64.0%,N/A,75.0%
Fin - broker,IBKR,2026-01-11,33.95,3.10,15.0%,44.0%,N/A,43.0%
Fin - broker,HOOD,2026-01-11,47.85,24.55,99.0%,314.0%,N/A,271.0%
Fin - broker,COIN,2026-01-11,20.84,7.58,22.0%,632.0%,N/A,473.0%
,,,,,,,,
aerospace & defense,PLTR,2026-01-11,415.08,108.58,63.0%,206.0%,229.0%,231.0%
aerospace & defense,KTOS,2026-01-11,925.90,13.67,26.0%,105.0%,12.0%,172.0%
aerospace & defense,AVAV,2026-01-11,NA,12.57,151.0%,-425.0%,126.0%,-327.0%
aerospace & defense,ONDS,2026-01-11,NA,212.39,582.0%,-25.0%,100.0%,-18.0%
aerospace & defense,RTX,2026-01-11,38.71,2.92,12.0%,28.0%,19.0%,30.0%
aerospace & defense,LMT,2026-01-11,30.31,1.71,9.0%,1.0%,6.0%,0.0%
aerospace & defense,NOC,2026-01-11,22.21,2.06,4.0%,11.0%,12.0%,7.0%
aerospace & defense,GD,2026-01-11,22.93,1.84,11.0%,14.0%,11.0%,14.0%
aerospace & defense,HII,2026-01-11,26.73,1.24,16.0%,82.0%,51.0%,44.0%
aerospace & defense,CW,2026-01-11,49.29,6.36,9.0%,12.0%,13.0%,12.0%
aerospace & defense,BWXT,2026-01-11,60.25,5.77,29.0%,19.0%,19.0%,18.0%
aerospace & defense,LDOS,2026-01-11,18.50,1.44,7.0%,3.0%,4.0%,1.0%
aerospace & defense,BAH,2026-01-11,14.69,1.00,-8.0%,-55.0%,-32.0%,-55.0%
aerospace & defense,CACI,2026-01-11,26.45,1.49,11.0%,7.0%,24.0%,4.0%
,,,,,,,,
aerospace aftermarket,BA,2026-01-11,NA,2.27,30.0%,-16.0%,-19.0%,-12.0%
aerospace aftermarket,GE,2026-01-11,42.88,7.55,24.0%,33.0%,36.0%,17.0%
aerospace aftermarket,HWM,2026-01-11,61.26,10.59,14.0%,40.0%,26.0%,16.0%
aerospace aftermarket,TDG,2026-01-11,43.38,8.78,12.0%,24.0%,18.0%,34.0%
aerospace aftermarket,HEI,2026-01-11,72.10,9.48,19.0%,35.0%,9.0%,35.0%
aerospace aftermarket,CRS,2026-01-11,40.20,5.53,2.0%,43.0%,25.0%,45.0%
aerospace aftermarket,FTAI,2026-01-11,56.20,10.41,42.0%,54.0%,20.0%,46.0%
,,,,,,,,
police equipment,MSI,2026-01-11,30.75,5.62,8.0%,4.0%,11.0%,0.0%
police equipment,AXON,2026-01-11,199.97,18.91,31.0%,-80.0%,-41.0%,-103.0%
,,,,,,,,
auto manufactueres,TSLA,2026-01-11,297.35,15.16,12.0%,-30.0%,-15.0%,-37.0%
auto manufactueres,RACE,2026-01-11,37.99,8.55,14.0%,12.0%,11.0%,8.0%
auto manufactueres,GM,2026-01-11,16.66,0.42,0.0%,-62.0%,-20.0%,-57.0%
auto manufactueres,F,2026-01-11,12.18,0.30,9.0%,109.0%,48.0%,174.0%
auto manufactueres,CPRT,2026-01-11,24.43,8.12,1.0%,8.0%,5.0%,11.0%
,,,,,,,,
residential construction,DHI,2026-01-11,13.56,1.24,-3.0%,-30.0%,-24.0%,-29.0%
residential construction,TOL,2026-01-11,10.72,1.17,3.0%,-5.0%,-8.0%,-6.0%
residential construction,KBH,2026-01-11,10.01,0.60,-15.0%,-48.0%,-45.0%,-46.0%
residential construction,BLD,2026-01-11,23.65,2.36,1.0%,-16.0%,-3.0%,-16.0%
residential construction,IBP,2026-01-11,31.91,2.50,2.0%,7.0%,6.0%,8.0%
,,,,,,,,
home improvement retial,HD,2026-01-11,25.54,2.15,3.0%,-1.0%,0.0%,-1.0%
home improvement retial,LOW,2026-01-11,22.15,1.71,3.0%,-4.0%,1.0%,-5.0%
home improvement retial,BLDR,2026-01-11,23.72,0.79,-7.0%,-57.0%,-34.0%,-57.0%
home improvement retial,W,2026-01-11,NA,1.21,8.0%,37.0%,452.0%,34.0%
home improvement retial,WSM,2026-01-11,21.88,2.98,5.0%,-1.0%,-1.0%,-3.0%
,,,,,,,,
loging,MAR,2026-01-11,34.66,3.36,4.0%,26.0%,N/A,25.0%
loging,HLT,2026-01-11,43.53,5.91,9.0%,23.0%,N/A,22.0%
loging,H,2026-01-11,NA,2.30,10.0%,-103.0%,N/A,-110.0%
,,,,,,,,
airline,DAL,2026-01-11,10.19,0.75,6.0%,14.0%,13.0%,11.0%
airline,UAL,2026-01-11,11.75,0.64,3.0%,-2.0%,-11.0%,-2.0%
airline,LUV,2026-01-11,67.85,0.81,1.0%,-24.0%,-5.0%,-19.0%
airline,AAL,2026-01-11,19.22,0.19,0.0%,-45.0%,-44.0%,-23.0%
,,,,,,,,
resort & casinos,LVS,2026-01-11,26.60,3.41,24.0%,44.0%,36.0%,52.0%
resort & casinos,WYNN,2026-01-11,25.99,1.73,8.0%,1519.0%,61.0%,-376.0%
resort & casinos,MGM,2026-01-11,216.26,0.56,2.0%,-174.0%,-15.0%,-255.0%
resort & casinos,CZR,2026-01-11,NA,0.45,0.0%,-223.0%,-11.0%,511.0%
,,,,,,,,
travel service,BKNG,2026-01-11,35.70,6.80,13.0%,21.0%,26.0%,9.0%
travel service,ABNB,2026-01-11,32.95,7.12,11.0%,3.0%,10.0%,0.0%
travel service,RCL,2026-01-11,21.04,4.76,5.0%,42.0%,5.0%,42.0%
travel service,EXPE,2026-01-11,28.35,2.53,9.0%,29.0%,25.0%,40.0%
travel service,MMYT,2026-01-11,120.74,7.77,9.0%,-106.0%,26.0%,-131.0%
travel service,YOU,2026-01-11,19.12,5.60,16.0%,42.0%,43.0%,21.0%
,,,,,,,,
gambling,FLUT,2026-01-11,NA,2.47,17.0%,542.0%,-8.0%,570.0%
gambling,DKNG,2026-01-11,NA,5.87,4.0%,-8.0%,-1.0%,-13.0%
,,,,,,,,
restaurants,MCD,2026-01-11,26.21,8.33,3.0%,4.0%,4.0%,1.0%
restaurants,SBUX,2026-01-11,54.55,2.72,5.0%,-86.0%,-14.0%,-85.0%
restaurants,CMG,2026-01-11,35.35,4.40,8.0%,-1.0%,1.0%,-1.0%
restaurants,DRI,2026-01-11,21.21,1.85,7.0%,11.0%,15.0%,10.0%
restaurants,DPZ,2026-01-11,23.67,2.83,6.0%,-3.0%,11.0%,-5.0%
restaurants,TXRH,2026-01-11,27.97,2.05,13.0%,-6.0%,2.0%,-1.0%
restaurants,WING,2026-01-11,44.73,10.93,8.0%,12.0%,28.0%,11.0%
restaurants,CAVA,2026-01-11,61.08,7.13,20.0%,15.0%,25.0%,-18.0%
restaurants,SG,2026-01-11,NA,1.33,-1.0%,74.0%,342.0%,74.0%
,,,,,,,,
telecom service,TMUS,2026-01-11,19.28,2.61,9.0%,-11.0%,4.0%,-11.0%
telecom service,VZ,2026-01-11,8.62,1.24,1.0%,52.0%,4.0%,50.0%
telecom service,T,2026-01-11,7.79,1.37,2.0%,645.0%,2.0%,-4205.0%
telecom service,CMCSA,2026-01-11,4.71,0.84,-3.0%,-7.0%,-2.0%,-8.0%
telecom service,ERIC,2026-01-11,12.60,1.21,0.0%,211.0%,12.0%,220.0%
,,,,,,,,
discount stores,WMT,2026-01-11,40.17,1.28,6.0%,34.0%,3.0%,34.0%
discount stores,COST,2026-01-11,49.54,1.45,8.0%,12.0%,12.0%,11.0%
discount stores,TGT,2026-01-11,12.80,0.46,-2.0%,-21.0%,-9.0%,-19.0%
discount stores,SFM,2026-01-11,14.95,0.87,13.0%,28.0%,21.0%,31.0%
,,,,,,,,
household & personal products,PG,2026-01-11,20.71,3.90,3.0%,17.0%,5.0%,20.0%
household & personal products,PM,2026-01-11,29.45,6.35,10.0%,16.0%,1.0%,13.0%
household & personal products,UL,2026-01-11,23.43,2.15,N/A,N/A,N/A,N/A
household & personal products,CL,2026-01-11,22.83,3.24,2.0%,1.0%,0.0%,0.0%
household & personal products,KMB,2026-01-11,16.59,1.81,-16.0%,-50.0%,-7.0%,-51.0%
household & personal products,KVUE,2026-01-11,22.62,2.15,-4.0%,-9.0%,-3.0%,4.0%
household & personal products,ULTA,2026-01-11,25.53,2.43,13.0%,-5.0%,0.0%,-5.0%
household & personal products,ELF,2026-01-11,61.68,3.70,14.0%,-114.0%,-27.0%,-84.0%
household & personal products,HIMS,2026-01-11,58.59,3.49,49.0%,-48.0%,30.0%,-79.0%
,,,,,,,,
utilities - regulated electric,NEE,2026-01-11,25.37,6.43,10.0%,18.0%,14.0%,32.0%
utilities - regulated electric,SO,2026-01-11,21.63,3.32,8.0%,10.0%,12.0%,11.0%
utilities - regulated electric,HE,2026-01-11,19.46,0.77,-16.0%,-127.0%,-298.0%,-129.0%
,,,,,,,,
